elapsed_ms,t_elapsed_s,accel_mag_g
0,0,0.00397689
18,0.018,0.00397613
36,0.036,0.00397537
55,0.055,0.00397456
73,0.073,0.0039738
91,0.091,0.00397304
109,0.109,0.00397227
127,0.127,0.00397151
145,0.145,0.00397075
164,0.164,0.00396994
182,0.182,0.00396918
200,0.2,0.00396841
218,0.218,0.00396765
236,0.236,0.00396688
255,0.255,0.00396608
273,0.273,0.00396531
291,0.291,0.00396455
309,0.309,0.00396378
327,0.327,0.00396302
345,0.345,0.00396225
364,0.364,0.00396145
382,0.382,0.00396068
400,0.4,0.00395991
418,0.418,0.00395915
436,0.436,0.00395838
455,0.455,0.00395757
473,0.473,0.00395681
491,0.491,0.00395604
509,0.509,0.00395528
527,0.527,0.00395451
545,0.545,0.00395374
564,0.564,0.00395293
582,0.582,0.00395217
600,0.6,0.0039514
618,0.618,0.00395063
636,0.636,0.00394986
655,0.655,0.00394905
673,0.673,0.00394829
691,0.691,0.00394752
709,0.709,0.00394675
727,0.727,0.00394598
745,0.745,0.00394521
764,0.764,0.0039444
782,0.782,0.00394363
800,0.8,0.00394286
818,0.818,0.0039421
836,0.836,0.00394133
855,0.855,0.00394052
873,0.873,0.00393975
891,0.891,0.00393898
909,0.909,0.00393821
927,0.927,0.00393744
945,0.945,0.00393667
964,0.964,0.00393585
982,0.982,0.00393508
1000,1,0.00393431
1018,1.018,0.00393354
1036,1.036,0.00393277
1055,1.055,0.00393196
1073,1.073,0.00393119
1091,1.091,0.00393042
1109,1.109,0.00392965
1127,1.127,0.00392888
1145,1.145,0.0039281
1164,1.164,0.00392729
1182,1.182,0.00392652
1200,1.2,0.00392575
1218,1.218,0.00392497
1236,1.236,0.0039242
1255,1.255,0.00392339
1273,1.273,0.00392261
1291,1.291,0.00392184
1309,1.309,0.00392107
1327,1.327,0.0039203
1345,1.345,0.00391952
1364,1.364,0.00391871
1382,1.382,0.00391793
1400,1.4,0.00391716
1418,1.418,0.00391639
1436,1.436,0.00391561
1455,1.455,0.0039148
1473,1.473,0.00391402
1491,1.491,0.00391325
1509,1.509,0.00391248
1527,1.527,0.0039117
1545,1.545,0.00391093
1564,1.564,0.00391011
1582,1.582,0.00390934
1600,1.6,0.00390856
1618,1.618,0.00390779
1636,1.636,0.00390701
1655,1.655,0.00390619
1673,1.673,0.00390542
1691,1.691,0.00390464
1709,1.709,0.00390387
1727,1.727,0.00390309
1745,1.745,0.00390231
1764,1.764,0.00390149
1782,1.782,0.00390072
1800,1.8,0.00389994
1818,1.818,0.00389917
1836,1.836,0.00389839
1855,1.855,0.00389757
1873,1.873,0.00389679
1891,1.891,0.00389602
1909,1.909,0.00389524
1927,1.927,0.00389446
1945,1.945,0.00389368
1964,1.964,0.00389286
1982,1.982,0.00389209
2000,2,0.00389131
2018,2.018,0.00389053
2036,2.036,0.00388975
2055,2.055,0.00388893
2073,2.073,0.00388815
2091,2.091,0.00388737
2109,2.109,0.0038866
2127,2.127,0.00388582
2145,2.145,0.00388504
2164,2.164,0.00388422
2182,2.182,0.00388344
2200,2.2,0.00388266
2218,2.218,0.00388188
2236,2.236,0.0038811
2255,2.255,0.00388028
2273,2.273,0.0038795
2291,2.291,0.00387872
2309,2.309,0.00387794
2327,2.327,0.00387716
2345,2.345,0.00387638
2364,2.364,0.00387555
2382,2.382,0.00387477
2400,2.4,0.00387399
2418,2.418,0.00387321
2436,2.436,0.00387243
2455,2.455,0.00387161
2473,2.473,0.00387082
2491,2.491,0.00387004
2509,2.509,0.00386926
2527,2.527,0.00386848
2545,2.545,0.0038677
2564,2.564,0.00386687
