elapsed_ms,t_elapsed_s,lat_deg,lon_deg,alt_m,east_m,north_m,up_m,ve,vn,vu,speed_mps,heading_deg,pos_sigma_h_m,pos_sigma_v_m,vel_sigma_mps,coasting
0,0,32.867512,-117.256843,2.3,0,0,0,1.2,7.34788079e-17,0,1.2,90,4.5254834,3.2,0.424264069,0
18,0.018,32.867512,-117.256843,2.3,0.021602425,5.83276128e-06,2.62023928e-11,1.20026945,0.000648084586,2.91137697e-09,1.20026962,89.9690632,4.52548987,3.20000457,0.427307852,0
36,0.036,32.867512,-117.256843,2.3,0.0432096951,2.33318023e-05,1.04809571e-10,1.20053834,0.0012962533,5.82275397e-09,1.20053904,89.9381362,4.52550941,3.20001839,0.430330106,0
55,0.055,32.867512,-117.256842,2.3,0.0660226141,5.44611917e-05,2.44636537e-10,1.20082155,0.00198052453,8.89587398e-09,1.20082319,89.9055017,4.52554442,3.20004315,0.433672688,0
73,0.073,32.867512,-117.256842,2.3,0.0876398119,9.59456942e-05,4.30964662e-10,1.20108931,0.00262886463,1.1807251e-08,1.20109219,89.874595,4.52559142,3.20007638,0.43665089,0
91,0.091,32.867512,-117.256842,2.3,0.109261824,0.000149101062,6.69697572e-10,1.20135651,0.00327728739,1.47186279e-08,1.20136098,89.8436981,4.52565207,3.20011927,0.439608917,0
109,0.109,32.867512,-117.256842,2.3,0.130888641,0.00021392878,9.60835266e-10,1.20162316,0.00392579239,1.76300049e-08,1.20162957,89.8128111,4.52572656,3.20017194,0.442547173,0
127,0.127,32.867512,-117.256841,2.3,0.152520253,0.000290430324,1.30437775e-09,1.20188925,0.00457437908,2.05413819e-08,1.20189796,89.7819339,4.52581507,3.20023453,0.445466048,0
145,0.145,32.867512,-117.256841,2.3,0.174156649,0.000378607159,1.70032502e-09,1.20215479,0.00522304703,2.3452759e-08,1.20216614,89.7510664,4.52591778,3.20030715,0.448365922,0
164,0.164,32.867512,-117.256841,2.3,0.197000247,0.000484350605,2.17512208e-09,1.20243447,0.00590784206,2.65258792e-08,1.20244898,89.7184947,4.52604181,3.20039486,0.451575021,0
182,0.182,32.867512,-117.256841,2.3,0.218646447,0.000596531263,2.6787903e-09,1.20269887,0.00655667552,2.94372562e-08,1.20271674,89.6876474,4.52617431,3.20048855,0.454435914,0
200,0.2,32.867512,-117.25684,2.3,0.240297402,0.000720391642,3.2348633e-09,1.20296272,0.00720558878,3.23486332e-08,1.2029843,89.6568099,4.52632159,3.20059269,0.457278908,0
