elapsed_ms,t_elapsed_s,lat_deg,lon_deg,alt_m,east_m,north_m,up_m,ve,vn,vu,speed_mps,heading_deg,pos_sigma_h_m,pos_sigma_v_m,vel_sigma_mps,coasting
0,0,32.867512,-117.256843,2.3,0,0,0,1.2,7.34788079e-17,0,1.2,90,0,0,0,0
1000,1,32.867512,-117.25683,2.3,1.21414412,0,0,1.19947183,0.0355994929,0,1.2,88.3,0,0,0,0
2000,2,32.867513,-117.256817,2.3,2.42828824,0.111194927,0,1.19788779,0.0711676483,0,1.2,86.6,0,0,0,0
3000,3,32.867513,-117.256805,2.3,3.54903665,0.111194927,0,1.19506128,0.108759096,0,1.2,84.8,0,0,0,0
4000,4,32.867515,-117.256792,2.3,4.76318077,0.33358478,0,1.19130881,0.144164207,0,1.2,83.1,0,0,0,0
5000,5,32.867516,-117.256779,2.3,5.97732489,0.444779707,0,1.18650766,0.179442412,0,1.2,81.4,0,0,0,0
6000,6,32.867518,-117.256766,2.3,7.19146901,0.66716956,0,1.18066205,0.214562658,0,1.2,79.7,0,0,0,0
7000,7,32.86752,-117.256754,2.3,8.31221743,0.889559413,0,1.17377712,0.249494029,0,1.2,78,0,0,0,0
8000,8,32.867522,-117.256741,2.3,9.52636154,1.11194927,0,1.16536114,0.286240149,0,1.2,76.2,0,0,0,0
9000,9,32.867525,-117.256729,2.3,10.64711,1.44553405,0,1.15635654,0.320686051,0,1.2,74.5,0,0,0,0
10000,10,32.867528,-117.256716,2.3,11.8612541,1.77911883,0,1.14633403,0.35484966,0,1.2,72.8,0,0,0,0
11000,11,32.867531,-117.256704,2.3,12.9820025,2.11270361,0,1.13530243,0.388700902,0,1.2,71.1,0,0,0,0
12000,12,32.867535,-117.256692,2.3,14.1027509,2.55748331,0,1.12327144,0.422209978,0,1.2,69.4,0,0,0,0
13000,13,32.867539,-117.25668,2.3,15.2234993,3.00226302,0,1.11025166,0.455347391,0,1.2,67.7,0,0,0,0
14000,14,32.867543,-117.256668,2.3,16.3442477,3.44704273,0,1.09540101,0.489996552,0,1.2,65.9,0,0,0,0
15000,15,32.867548,-117.256657,2.3,17.3716005,4.00301736,0,1.08038253,0.522277319,0,1.2,64.2,0,0,0,0
16000,16,32.867553,-117.256645,2.3,18.4923489,4.55899199,0,1.064413,0.554098336,0,1.2,62.5,0,0,0,0
17000,17,32.867558,-117.256634,2.3,19.5197016,5.11496663,0,1.04750649,0.585431591,0,1.2,60.8,0,0,0,0
18000,18,32.867563,-117.256623,2.3,20.5470543,5.67094126,0,1.02967789,0.616249502,0,1.2,59.1,0,0,0,0
19000,19,32.867569,-117.256612,2.3,21.574407,6.33811082,0,1.00981294,0.648288385,0,1.2,57.3,0,0,0,0
20000,20,32.867575,-117.256601,2.3,22.6017597,7.00528038,0,0.990136198,0.677960404,0,1.2,55.6,0,0,0,0
21000,21,32.867581,-117.256591,2.3,23.5357168,7.67244994,0,0.969587861,0.707035629,0,1.2,53.9,0,0,0,0
