elapsed_ms,t_elapsed_s,lat_deg,lon_deg,alt_m,east_m,north_m,up_m,ve,vn,vu,speed_mps,heading_deg,pos_sigma_h_m,pos_sigma_v_m,vel_sigma_mps,coasting
0,0,32.867512,-117.256843,2.3,0,0,0,1.2,7.34788079e-17,0,1.2,90,0,0,0,0
18,0.018,32.867512,-117.256843,2.3,0.021602425,5.83276128e-06,2.62023928e-11,1.20026945,0.000648084586,2.91137697e-09,1.20026962,89.9690632,0,0,0,0
36,0.036,32.867512,-117.256843,2.3,0.0432096951,2.33318023e-05,1.04809571e-10,1.20053834,0.0012962533,5.82275397e-09,1.20053904,89.9381362,0,0,0,0
55,0.055,32.867512,-117.256842,2.3,0.0660226141,5.44611917e-05,2.44636537e-10,1.20082155,0.00198052453,8.89587398e-09,1.20082319,89.9055017,0,0,0,0
73,0.073,32.867512,-117.256842,2.3,0.0876398119,9.59456942e-05,4.30964662e-10,1.20108931,0.00262886463,1.1807251e-08,1.20109219,89.874595,0,0,0,0
91,0.091,32.867512,-117.256842,2.3,0.109261824,0.000149101062,6.69697572e-10,1.20135651,0.00327728739,1.47186279e-08,1.20136098,89.8436981,0,0,0,0
109,0.109,32.867512,-117.256842,2.3,0.130888641,0.00021392878,9.60835266e-10,1.20162316,0.00392579239,1.76300049e-08,1.20162957,89.8128111,0,0,0,0
127,0.127,32.867512,-117.256841,2.3,0.152520253,0.000290430324,1.30437775e-09,1.20188925,0.00457437908,2.05413819e-08,1.20189796,89.7819339,0,0,0,0
145,0.145,32.867512,-117.256841,2.3,0.174156649,0.000378607159,1.70032502e-09,1.20215479,0.00522304703,2.3452759e-08,1.20216614,89.7510664,0,0,0,0
164,0.164,32.867512,-117.256841,2.3,0.197000247,0.000484350605,2.17512208e-09,1.20243447,0.00590784206,2.65258792e-08,1.20244898,89.7184947,0,0,0,0
182,0.182,32.867512,-117.256841,2.3,0.218646447,0.000596531263,2.6787903e-09,1.20269887,0.00655667552,2.94372562e-08,1.20271674,89.6876474,0,0,0,0
200,0.2,32.867512,-117.25684,2.3,0.240297402,0.000720391642,3.2348633e-09,1.20296272,0.00720558878,3.23486332e-08,1.2029843,89.6568099,0,0,0,0
218,0.218,32.867512,-117.25684,2.3,0.2619531,0.000855933174,3.84334109e-09,1.20322601,0.00785458142,3.52600102e-08,1.20325165,89.6259822,0,0,0,0
236,0.236,32.867512,-117.25684,2.3,0.283613533,0.00100315728,4.50422367e-09,1.20348876,0.00850365289,3.81713873e-08,1.2035188,89.5951642,0,0,0,0
255,0.255,32.867512,-117.25684,2.30000001,0.306482448,0.00117123626,5.25867467e-09,1.20376548,0.00918887125,4.12445075e-08,1.20380055,89.5626446,0,0,0,0
273,0.273,32.867512,-117.256839,2.30000001,0.328152581,0.00134247903,6.0272782e-09,1.20402708,0.00983810334,4.41558844e-08,1.20406727,89.5318467,0,0,0,0
291,0.291,32.867512,-117.256839,2.30000001,0.349827418,0.00152540868,6.84828651e-09,1.20428813,0.0104874128,4.70672615e-08,1.20433379,89.5010585,0,0,0,0
309,0.309,32.867512,-117.256839,2.30000001,0.371506949,0.00172002659,7.72169961e-09,1.20454862,0.0111367993,4.99786384e-08,1.2046001,89.4702801,0,0,0,0
327,0.327,32.867512,-117.256839,2.30000001,0.393191164,0.00192633414,8.64751749e-09,1.20480856,0.0117862622,5.28900154e-08,1.20486621,89.4395113,0,0,0,0
345,0.345,32.867512,-117.256839,2.30000001,0.414880052,0.00214433271,9.62574016e-09,1.20506795,0.0124358011,5.58013923e-08,1.20513211,89.4087523,0,0,0,0
364,0.364,32.867512,-117.256838,2.30000001,0.437778939,0.00238712716,1.07151613e-08,1.20534113,0.0131215097,5.88745124e-08,1.20541255,89.3762949,0,0,0,0
382,0.382,32.867512,-117.256838,2.30000001,0.459477403,0.00262916158,1.18011049e-08,1.20559938,0.0137712033,6.17858894e-08,1.20567803,89.3455558,0,0,0,0
400,0.4,32.867512,-117.256838,2.30000001,0.481180511,0.00288289115,1.29394533e-08,1.20585707,0.0144209716,6.46972664e-08,1.2059433,89.3148264,0,0,0,0
418,0.418,32.867512,-117.256838,2.30000001,0.502888253,0.00314831722,1.41302065e-08,1.20611421,0.0150708139,6.76086434e-08,1.20620837,89.2841067,0,0,0,0
436,0.436,32.867512,-117.256837,2.30000002,0.524600618,0.00342544112,1.53733644e-08,1.2063708,0.0157207298,7.05200203e-08,1.20647323,89.2533966,0,0,0,0
455,0.455,32.867512,-117.256837,2.30000002,0.54752423,0.00373065297,1.67424395e-08,1.20664102,0.0164068336,7.35931404e-08,1.20675256,89.2209909,0,0,0,0
473,0.473,32.867512,-117.256837,2.30000002,0.569246068,0.00403182657,1.80933184e-08,1.20689647,0.0170568993,7.65045174e-08,1.207017,89.1903007,0,0,0,0
491,0.491,32.867512,-117.256837,2.30000002,0.590972498,0.00434470199,1.94966021e-08,1.20715136,0.0177070372,7.94158943e-08,1.20728122,89.1596201,0,0,0,0
509,0.509,32.867512,-117.256836,2.30000002,0.612703512,0.00466928055,2.09522906e-08,1.2074057,0.0183572468,8.23272713e-08,1.20754524,89.1289492,0,0,0,0
527,0.527,32.867512,-117.256836,2.30000002,0.634439098,0.00500556352,2.24603839e-08,1.20765949,0.0190075276,8.52386481e-08,1.20780906,89.0982879,0,0,0,0
545,0.545,32.867512,-117.256836,2.30000002,0.656179248,0.00535355218,2.40208819e-08,1.20791272,0.0196578791,8.8150025e-08,1.20807267,89.0676362,0,0,0,0
564,0.564,32.8675121,-117.256836,2.30000003,0.679132123,0.00573357421,2.5724927e-08,1.2081794,0.0203444395,9.12231451e-08,1.20835068,89.035292,0,0,0,0
582,0.582,32.8675121,-117.256835,2.30000003,0.700881621,0.00610562858,2.7393146e-08,1.20843149,0.020994935,9.4134522e-08,1.20861386,89.00466,0,0,0,0
