locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
1780324200.000,32.867525,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324201.000,32.867539,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324202.000,32.867552,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324203.000,32.867566,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324204.000,32.867579,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324205.000,32.867593,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324206.000,32.867606,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324207.000,32.867620,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324208.000,32.867633,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324209.000,32.867647,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324210.000,32.867660,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324211.000,32.867674,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324212.000,32.867687,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324213.000,32.867701,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324214.000,32.867714,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324215.000,32.867728,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324216.000,32.867741,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324217.000,32.867755,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324218.000,32.867768,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324219.000,32.867782,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324220.000,32.867795,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324221.000,32.867809,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324222.000,32.867822,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324223.000,32.867836,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
